E11f,E22f,nu12f,G12f,G23f,EM,num,Vf,E11,E22,NU12,G12,G23
557.768293,26.19212772,0.303566346,4.733398304,19.08244725,9.388003168,0.340862923,0.7004,393.4735582,20.27342728,0.3147404,4.476320595,11.05613263
459.7207907,19.93392102,0.38267065,36.29179679,14.3275098,18.76176779,0.437656659,0.5954,281.30877,19.65350327,0.404917989,17.77415639,11.25418788
248.2081373,21.38010293,0.301802437,4.838253474,12.69928889,3.322580634,0.432352734,0.3035,77.64534708,6.213849083,0.392730719,1.995734036,2.322423529
265.6694959,8.270475561,0.211368971,28.3140115,5.503399284,2.364451994,0.40671201,0.7004,186.7833047,5.876420784,0.269893745,4.471691472,2.888998366
453.3076481,18.22698588,0.38541795,26.99002196,10.43325101,5.424670976,0.400030058,0.4027,185.7871459,9.786920858,0.394145762,4.714136919,4.008988462
160.2801292,21.9005885,0.375612521,3.702440704,12.76935136,1.073295145,0.392139616,0.3035,49.39256928,2.254393818,0.387123643,0.761149006,0.827711637
416.9614844,21.62229767,0.316343127,34.0536776,14.68903551,2.556139236,0.357019951,0.5954,249.2930817,7.997989999,0.33280097,3.771521917,3.389641812
561.4529664,23.84855562,0.328428342,35.69190806,13.40159131,16.55525822,0.345603824,0.6887,391.8263098,22.18583113,0.33377507,19.64411682,11.16338248
544.9755655,29.78607032,0.2432419,32.35634252,19.37741295,2.885377228,0.405533653,0.7004,382.5653451,11.8170161,0.291864509,5.412264836,4.948293436
533.576657,15.83685361,0.349719064,13.37188467,9.47206025,9.239537411,0.332462136,0.5954,321.4298584,13.61643269,0.342736911,8.09224742,6.787336339
449.3923894,23.89136942,0.283947873,25.29196997,13.39181394,8.687023936,0.469265551,0.4027,186.1590746,14.5718173,0.394638122,6.7250551,5.848179567
534.1967048,9.848285592,0.278582928,5.150682313,6.543034411,4.460880029,0.333460478,0.4027,217.7854967,6.832871343,0.311361289,2.926839252,3.170097401
540.7440908,13.91252634,0.357475755,27.07967065,9.875999183,7.54072449,0.370951732,0.4961,272.0629145,11.13157704,0.3642663,7.489825368,5.592117656
